"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
6,124,2,"Ed Kavalee, Susie Youssef, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Susie Youssef, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","8:45 pm Monday","21 May 2018","800,000[120]"
6,125,3,"Ed Kavalee, Urzila Carlson, Peter Helliar, Julia Morris, Sam Pang","Ed Kavalee, Urzila Carlson, Peter Helliar, Julia Morris, Sam Pang","Urzila Carlson","8:45 pm Monday","28 May 2018","816,000[121]"
6,126,4,"Ed Kavalee, Georgie Carroll, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Georgie Carroll, Marty Sheargold, Celia Pacquola, Sam Pang","Sam Pang","8:40 pm Monday","4 June 2018","753,000[122]"
6,127,5,"Ed Kavalee, Jane Kennedy, Wil Anderson, Anne Edmonds, Sam Pang","Ed Kavalee, Jane Kennedy, Wil Anderson, Anne Edmonds, Sam Pang","Anne Edmonds","8:40 pm Monday","11 June 2018","790,000[123]"
6,128,6,"Ed Kavalee, Amanda Keller, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee, Amanda Keller, Mick Molloy, Kitty Flanagan, Sam Pang","Amanda Keller","8:40 pm Monday","18 June 2018","865,000[124]"
6,129,7,"Ed Kavalee, Urzila Carlson, Tony Martin, Anne Edmonds, Sam Pang","Ed Kavalee, Urzila Carlson, Tony Martin, Anne Edmonds, Sam Pang","Urzila Carlson","8:40 pm Monday","25 June 2018","854,000[125]"
6,130,8,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Susie Youssef, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Susie Youssef, Sam Pang","Ed Kavalee","8:40 pm Monday","2 July 2018","809,000[126]"
6,131,9,"Ed Kavalee, Melanie Bracewell, Glenn Robbins, Kitty Flanagan, Sam Pang","Ed Kavalee, Melanie Bracewell, Glenn Robbins, Kitty Flanagan, Sam Pang","Sam Pang","8:40 pm Monday","9 July 2018","696,000[127]"
6,132,10,"Ed Kavalee, Urzila Carlson, Ivan Aristeguieta, Anne Edmonds, Sam Pang","Ed Kavalee, Urzila Carlson, Ivan Aristeguieta, Anne Edmonds, Sam Pang","Urzila Carlson","8:40 pm Monday","16 July 2018","737,000[128]"
6,133,11,"Ed Kavalee, Denise Scott, Mick Molloy, Susie Youssef, Peter Helliar","Ed Kavalee, Denise Scott, Mick Molloy, Susie Youssef, Peter Helliar","Peter Helliar","8:40 pm Monday","23 July 2018","744,000[129]"
6,134,12,"Ed Kavalee, Amanda Keller, Dane Simpson, Anne Edmonds, Sam Pang","Ed Kavalee, Amanda Keller, Dane Simpson, Anne Edmonds, Sam Pang","Amanda Keller","9:00 pm Monday","30 July 2018","856,000[130]"
6,135,13,"Ed Kavalee, Anjelah Johnson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Anjelah Johnson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee","9:00 pm Monday","6 August 2018","661,000[131]"
6,136,14,"Ed Kavalee, Urzila Carlson, Dane Simpson, Anne Edmonds, Sam Pang","Ed Kavalee, Urzila Carlson, Dane Simpson, Anne Edmonds, Sam Pang","Urzila Carlson","8:40 pm Monday","13 August 2018","759,000[132]"
6,137,15,"Ed Kavalee, Denise Scott, Tony Martin, Melanie Bracewell, Sam Pang","Ed Kavalee, Denise Scott, Tony Martin, Melanie Bracewell, Sam Pang","Ed Kavalee","8:40 pm Monday","20 August 2018","747,000[133]"
6,138,16,"Ed Kavalee, Urzila Carlson, Wil Anderson, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Wil Anderson, Kitty Flanagan, Sam Pang","Urzila Carlson","8:40 pm Monday","27 August 2018","801,000[134]"
